Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.01 | Yaw(deg): 0.00
Angle(deg): 3.01 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 2.99 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 2.99 | Yaw(deg): 0.00
Angle(deg): 2.99 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 2.99 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.00 | Yaw(deg): 0.00
Angle(deg): 3.01 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.97 | Yaw(deg): 0.00
Angle(deg): 2.97 | Yaw(deg): 0.00
Angle(deg): 2.97 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.95 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.96 | Yaw(deg): 0.00
Angle(deg): 2.91 | Yaw(deg): 0.00
Angle(deg): 2.91 | Yaw(deg): 0.00
Angle(deg): 2.91 | Yaw(deg): 0.00
Angle(deg): 2.90 | Yaw(deg): 0.00
Angle(deg): 2.91 | Yaw(deg): 0.00
Angle(deg): 2.90 | Yaw(deg): 0.00
Angle(deg): 2.90 | Yaw(deg): 0.00
Angle(deg): 2.90 | Yaw(deg): 0.00
Angle(deg): 2.90 | Yaw(deg): 0.00
Angle(deg): 2.85 | Yaw(deg): 0.00
Angle(deg): 2.86 | Yaw(deg): 0.00
Angle(deg): 2.86 | Yaw(deg): 0.00
Angle(deg): 2.86 | Yaw(deg): 0.00
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.91 | Yaw(deg): 0.06
Angle(deg): 2.90 | Yaw(deg): 0.06
Angle(deg): 2.85 | Yaw(deg): 0.06
Angle(deg): 2.85 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.86 | Yaw(deg): 0.06
Angle(deg): 2.87 | Yaw(deg): 0.06
Angle(deg): 2.88 | Yaw(deg): 0.06
Angle(deg): 2.87 | Yaw(deg): 0.06
Angle(deg): 2.88 | Yaw(deg): 0.06
Angle(deg): 2.88 | Yaw(deg): 0.06
Angle(deg): 2.89 | Yaw(deg): 0.06
Angle(deg): 2.88 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.91 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.92 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.97 | Yaw(deg): 0.06
Angle(deg): 2.97 | Yaw(deg): 0.06
Angle(deg): 2.95 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): 0.06
Angle(deg): 2.91 | Yaw(deg): 0.06
Angle(deg): 2.91 | Yaw(deg): 0.06
Angle(deg): 2.93 | Yaw(deg): 0.06
Angle(deg): 2.96 | Yaw(deg): -0.02
Angle(deg): 2.98 | Yaw(deg): -0.12
Angle(deg): 2.97 | Yaw(deg): -0.12
Angle(deg): 2.96 | Yaw(deg): -0.12
Angle(deg): 2.98 | Yaw(deg): -0.12
Angle(deg): 3.01 | Yaw(deg): -0.13
Angle(deg): 3.03 | Yaw(deg): -0.18
Angle(deg): 3.00 | Yaw(deg): -0.20
Angle(deg): 3.07 | Yaw(deg): -0.20
Angle(deg): 3.16 | Yaw(deg): -0.22
Angle(deg): 3.25 | Yaw(deg): -0.22
Angle(deg): 3.48 | Yaw(deg): -0.24
Angle(deg): 3.87 | Yaw(deg): -0.34
Angle(deg): 4.44 | Yaw(deg): -0.51
Angle(deg): 5.12 | Yaw(deg): -0.72
Angle(deg): 5.79 | Yaw(deg): -0.92
Angle(deg): 6.14 | Yaw(deg): -1.14
Angle(deg): 5.99 | Yaw(deg): -1.34
Angle(deg): 5.36 | Yaw(deg): -1.54
Angle(deg): 4.35 | Yaw(deg): -1.75
Angle(deg): 3.17 | Yaw(deg): -1.91
Angle(deg): 2.06 | Yaw(deg): -2.00
Angle(deg): 1.07 | Yaw(deg): -2.11
Angle(deg): 0.18 | Yaw(deg): -2.16
Angle(deg): -0.66 | Yaw(deg): -2.14
Angle(deg): -1.72 | Yaw(deg): -2.04
Angle(deg): -3.01 | Yaw(deg): -1.86
Angle(deg): -4.47 | Yaw(deg): -1.70
Angle(deg): -6.07 | Yaw(deg): -1.54
Angle(deg): -7.62 | Yaw(deg): -1.36
Angle(deg): -8.99 | Yaw(deg): -1.14
Angle(deg): -10.06 | Yaw(deg): -0.90
Angle(deg): -10.72 | Yaw(deg): -0.69
Angle(deg): -11.07 | Yaw(deg): -0.46
Angle(deg): -11.24 | Yaw(deg): -0.26
Angle(deg): -11.30 | Yaw(deg): -0.11
Angle(deg): -11.34 | Yaw(deg): 0.03
Angle(deg): -11.46 | Yaw(deg): 0.21
Angle(deg): -11.65 | Yaw(deg): 0.32
Angle(deg): -11.92 | Yaw(deg): 0.37
Angle(deg): -12.12 | Yaw(deg): 0.41
Angle(deg): -12.17 | Yaw(deg): 0.50
Angle(deg): -12.05 | Yaw(deg): 0.64
Angle(deg): -11.89 | Yaw(deg): 0.82
Angle(deg): -11.72 | Yaw(deg): 0.94
Angle(deg): -11.66 | Yaw(deg): 1.00
Angle(deg): -11.72 | Yaw(deg): 0.96
Angle(deg): -11.94 | Yaw(deg): 0.91
Angle(deg): -12.30 | Yaw(deg): 0.87
Angle(deg): -12.69 | Yaw(deg): 0.79
Angle(deg): -13.22 | Yaw(deg): 0.73
Angle(deg): -13.83 | Yaw(deg): 0.73
Angle(deg): -14.51 | Yaw(deg): 0.73
Angle(deg): -15.23 | Yaw(deg): 0.67
Angle(deg): -15.96 | Yaw(deg): 0.63
Angle(deg): -16.77 | Yaw(deg): 0.63
Angle(deg): -17.67 | Yaw(deg): 0.65
Angle(deg): -18.59 | Yaw(deg): 0.67
Angle(deg): -19.42 | Yaw(deg): 0.70
Angle(deg): -20.12 | Yaw(deg): 0.73
Angle(deg): -20.74 | Yaw(deg): 0.75
Angle(deg): -21.28 | Yaw(deg): 0.82
Angle(deg): -21.71 | Yaw(deg): 0.91
Angle(deg): -22.00 | Yaw(deg): 1.01
Angle(deg): -22.17 | Yaw(deg): 1.14
Angle(deg): -22.21 | Yaw(deg): 1.29
Angle(deg): -22.17 | Yaw(deg): 1.44
Angle(deg): -21.87 | Yaw(deg): 1.68
Angle(deg): -21.24 | Yaw(deg): 2.01
Angle(deg): -20.36 | Yaw(deg): 2.37
Angle(deg): -19.37 | Yaw(deg): 2.72
Angle(deg): -18.41 | Yaw(deg): 2.97
Angle(deg): -17.54 | Yaw(deg): 3.12
Angle(deg): -16.70 | Yaw(deg): 3.24
Angle(deg): -15.79 | Yaw(deg): 3.34
Angle(deg): -14.80 | Yaw(deg): 3.44
Angle(deg): -13.68 | Yaw(deg): 3.59
Angle(deg): -12.44 | Yaw(deg): 3.77
Angle(deg): -11.16 | Yaw(deg): 3.88
Angle(deg): -9.93 | Yaw(deg): 3.99
Angle(deg): -8.78 | Yaw(deg): 4.08
Angle(deg): -7.73 | Yaw(deg): 4.11
Angle(deg): -6.72 | Yaw(deg): 4.11
Angle(deg): -5.67 | Yaw(deg): 4.06
Angle(deg): -4.64 | Yaw(deg): 4.06
Angle(deg): -3.66 | Yaw(deg): 4.04
Angle(deg): -2.69 | Yaw(deg): 4.00
Angle(deg): -1.75 | Yaw(deg): 3.99
Angle(deg): -0.88 | Yaw(deg): 4.05
Angle(deg): -0.08 | Yaw(deg): 4.05
Angle(deg): 0.75 | Yaw(deg): 4.09
Angle(deg): 1.59 | Yaw(deg): 4.17
Angle(deg): 2.52 | Yaw(deg): 4.24
Angle(deg): 3.62 | Yaw(deg): 4.29
Angle(deg): 4.80 | Yaw(deg): 4.35
Angle(deg): 5.96 | Yaw(deg): 4.43
Angle(deg): 7.06 | Yaw(deg): 4.53
Angle(deg): 8.12 | Yaw(deg): 4.62
Angle(deg): 9.16 | Yaw(deg): 4.70
Angle(deg): 10.24 | Yaw(deg): 4.76
Angle(deg): 11.39 | Yaw(deg): 4.82
Angle(deg): 12.57 | Yaw(deg): 4.90
Angle(deg): 13.81 | Yaw(deg): 4.97
Angle(deg): 15.09 | Yaw(deg): 4.97
Angle(deg): 16.37 | Yaw(deg): 4.95
Angle(deg): 17.70 | Yaw(deg): 4.88
Angle(deg): 19.03 | Yaw(deg): 4.73
Angle(deg): 20.21 | Yaw(deg): 4.59
Angle(deg): 21.33 | Yaw(deg): 4.46
Angle(deg): 22.48 | Yaw(deg): 4.34
Angle(deg): 23.53 | Yaw(deg): 4.28
Angle(deg): 24.45 | Yaw(deg): 4.25
Angle(deg): 25.29 | Yaw(deg): 4.18
Angle(deg): 25.82 | Yaw(deg): 4.18
Angle(deg): 26.00 | Yaw(deg): 4.18
Angle(deg): 26.42 | Yaw(deg): 4.12
Angle(deg): 26.82 | Yaw(deg): 4.08
Angle(deg): 27.35 | Yaw(deg): 4.05
Angle(deg): 27.83 | Yaw(deg): 4.05
Angle(deg): 28.08 | Yaw(deg): 4.02
Angle(deg): 28.22 | Yaw(deg): 3.93
Angle(deg): 28.33 | Yaw(deg): 3.89
Angle(deg): 28.47 | Yaw(deg): 3.84
Angle(deg): 28.68 | Yaw(deg): 3.78
Angle(deg): 29.05 | Yaw(deg): 3.72
Angle(deg): 29.53 | Yaw(deg): 3.72
Angle(deg): 29.95 | Yaw(deg): 3.72
Angle(deg): 30.20 | Yaw(deg): 3.67
Angle(deg): 30.34 | Yaw(deg): 3.57
Angle(deg): 30.31 | Yaw(deg): 3.44
Angle(deg): 30.09 | Yaw(deg): 3.33
Angle(deg): 29.85 | Yaw(deg): 3.22
Angle(deg): 29.53 | Yaw(deg): 3.16
Angle(deg): 29.03 | Yaw(deg): 3.14
Angle(deg): 28.40 | Yaw(deg): 3.14
Angle(deg): 27.58 | Yaw(deg): 3.12
Angle(deg): 26.61 | Yaw(deg): 3.12
Angle(deg): 25.55 | Yaw(deg): 3.12
Angle(deg): 24.35 | Yaw(deg): 3.00
Angle(deg): 22.97 | Yaw(deg): 2.88
Angle(deg): 21.41 | Yaw(deg): 2.71
Angle(deg): 19.76 | Yaw(deg): 2.49
Angle(deg): 18.04 | Yaw(deg): 2.28
Angle(deg): 16.34 | Yaw(deg): 2.07
Angle(deg): 14.62 | Yaw(deg): 1.89
Angle(deg): 13.04 | Yaw(deg): 1.65
Angle(deg): 11.66 | Yaw(deg): 1.42
Angle(deg): 10.39 | Yaw(deg): 1.30
Angle(deg): 9.51 | Yaw(deg): 1.33
Angle(deg): 9.09 | Yaw(deg): 1.44
Angle(deg): 8.89 | Yaw(deg): 1.61
Angle(deg): 8.68 | Yaw(deg): 1.79
Angle(deg): 8.30 | Yaw(deg): 1.96
Angle(deg): 7.81 | Yaw(deg): 2.05
Angle(deg): 7.17 | Yaw(deg): 2.14
Angle(deg): 6.45 | Yaw(deg): 2.24
Angle(deg): 5.70 | Yaw(deg): 2.40
Angle(deg): 4.94 | Yaw(deg): 2.62
Angle(deg): 4.28 | Yaw(deg): 2.86
Angle(deg): 3.92 | Yaw(deg): 3.08
Angle(deg): 3.80 | Yaw(deg): 3.31
Angle(deg): 3.82 | Yaw(deg): 3.54
Angle(deg): 3.99 | Yaw(deg): 3.80
Angle(deg): 4.08 | Yaw(deg): 4.11
Angle(deg): 4.10 | Yaw(deg): 4.38
Angle(deg): 4.06 | Yaw(deg): 4.58
Angle(deg): 4.03 | Yaw(deg): 4.78
Angle(deg): 4.01 | Yaw(deg): 5.02
Angle(deg): 4.07 | Yaw(deg): 5.25
Angle(deg): 4.20 | Yaw(deg): 5.44
Angle(deg): 4.43 | Yaw(deg): 5.61
Angle(deg): 4.66 | Yaw(deg): 5.72
Angle(deg): 4.82 | Yaw(deg): 5.82
Angle(deg): 4.93 | Yaw(deg): 5.87
Angle(deg): 4.90 | Yaw(deg): 5.89
Angle(deg): 4.76 | Yaw(deg): 5.91
Angle(deg): 4.57 | Yaw(deg): 5.95
Angle(deg): 4.37 | Yaw(deg): 6.01
Angle(deg): 4.21 | Yaw(deg): 6.08
Angle(deg): 4.07 | Yaw(deg): 6.17
Angle(deg): 4.01 | Yaw(deg): 6.25
Angle(deg): 3.91 | Yaw(deg): 6.35
Angle(deg): 3.78 | Yaw(deg): 6.48
Angle(deg): 3.65 | Yaw(deg): 6.64
Angle(deg): 3.55 | Yaw(deg): 6.75
Angle(deg): 3.53 | Yaw(deg): 6.85
Angle(deg): 3.58 | Yaw(deg): 6.97
Angle(deg): 3.66 | Yaw(deg): 7.10
Angle(deg): 3.74 | Yaw(deg): 7.25
Angle(deg): 3.83 | Yaw(deg): 7.45
Angle(deg): 3.86 | Yaw(deg): 7.72
Angle(deg): 3.83 | Yaw(deg): 7.91
Angle(deg): 3.79 | Yaw(deg): 7.99
Angle(deg): 3.76 | Yaw(deg): 7.99
Angle(deg): 3.82 | Yaw(deg): 7.89
Angle(deg): 3.96 | Yaw(deg): 7.73
Angle(deg): 4.15 | Yaw(deg): 7.62
Angle(deg): 4.29 | Yaw(deg): 7.57
Angle(deg): 4.20 | Yaw(deg): 7.64
Angle(deg): 3.88 | Yaw(deg): 7.67
Angle(deg): 3.49 | Yaw(deg): 7.51
Angle(deg): 3.24 | Yaw(deg): 7.25
Angle(deg): 2.94 | Yaw(deg): 7.11
Angle(deg): 2.55 | Yaw(deg): 7.12
Angle(deg): 1.95 | Yaw(deg): 7.27
Angle(deg): 1.32 | Yaw(deg): 7.41
Angle(deg): 0.81 | Yaw(deg): 7.47
Angle(deg): 0.46 | Yaw(deg): 7.58
Angle(deg): 0.40 | Yaw(deg): 7.79
Angle(deg): 0.54 | Yaw(deg): 8.09
Angle(deg): 0.81 | Yaw(deg): 8.49
Angle(deg): 1.06 | Yaw(deg): 8.85
Angle(deg): 1.13 | Yaw(deg): 9.24
Angle(deg): 1.10 | Yaw(deg): 9.61
Angle(deg): 0.91 | Yaw(deg): 10.00
Angle(deg): 0.74 | Yaw(deg): 10.38
Angle(deg): 0.59 | Yaw(deg): 10.77
Angle(deg): 0.46 | Yaw(deg): 11.18
Angle(deg): 0.36 | Yaw(deg): 11.60
Angle(deg): 0.08 | Yaw(deg): 12.05
Angle(deg): -0.24 | Yaw(deg): 12.39
Angle(deg): -0.55 | Yaw(deg): 12.53
Angle(deg): -0.81 | Yaw(deg): 12.59
Angle(deg): -1.04 | Yaw(deg): 12.74
Angle(deg): -1.02 | Yaw(deg): 13.04
Angle(deg): -0.94 | Yaw(deg): 13.49
Angle(deg): -0.88 | Yaw(deg): 13.97
Angle(deg): -0.90 | Yaw(deg): 14.39
Angle(deg): -1.03 | Yaw(deg): 14.77
Angle(deg): -1.17 | Yaw(deg): 15.07
Angle(deg): -1.29 | Yaw(deg): 15.32
Angle(deg): -1.43 | Yaw(deg): 15.61
Angle(deg): -1.48 | Yaw(deg): 15.80
Angle(deg): -1.36 | Yaw(deg): 15.83
Angle(deg): -1.37 | Yaw(deg): 15.93
Angle(deg): -1.42 | Yaw(deg): 16.05
Angle(deg): -1.38 | Yaw(deg): 16.13
Angle(deg): -1.41 | Yaw(deg): 16.23
Angle(deg): -1.42 | Yaw(deg): 16.36
Angle(deg): -1.35 | Yaw(deg): 16.40
Angle(deg): -1.30 | Yaw(deg): 16.43
Angle(deg): -1.23 | Yaw(deg): 16.49
Angle(deg): -1.19 | Yaw(deg): 16.60
Angle(deg): -1.18 | Yaw(deg): 16.67
Angle(deg): -1.20 | Yaw(deg): 16.68
Angle(deg): -1.26 | Yaw(deg): 16.78
